K	c	step	%equil	colrate	extrate	shannon	bin_0_0	bin_0_1	bin_0_2	bin_0_3	bin_0_4	bin_0_5	bin_0_6	bin_0_7	bin_0_8	bin_0_9	bin_1_0	bin_1_1	bin_1_2	bin_1_3	bin_1_4	bin_1_5	bin_1_6	bin_1_7	bin_1_8	bin_1_9	bin_2_0	bin_2_1	bin_2_2	bin_2_3	bin_2_4	bin_2_5	bin_2_6	bin_2_7	bin_2_8	bin_2_9	bin_3_0	bin_3_1	bin_3_2	bin_3_3	bin_3_4	bin_3_5	bin_3_6	bin_3_7	bin_3_8	bin_3_9	bin_4_0	bin_4_1	bin_4_2	bin_4_3	bin_4_4	bin_4_5	bin_4_6	bin_4_7	bin_4_8	bin_4_9	bin_5_0	bin_5_1	bin_5_2	bin_5_3	bin_5_4	bin_5_5	bin_5_6	bin_5_7	bin_5_8	bin_5_9	bin_6_0	bin_6_1	bin_6_2	bin_6_3	bin_6_4	bin_6_5	bin_6_6	bin_6_7	bin_6_8	bin_6_9	bin_7_0	bin_7_1	bin_7_2	bin_7_3	bin_7_4	bin_7_5	bin_7_6	bin_7_7	bin_7_8	bin_7_9	bin_8_0	bin_8_1	bin_8_2	bin_8_3	bin_8_4	bin_8_5	bin_8_6	bin_8_7	bin_8_8	bin_8_9	bin_9_0	bin_9_1	bin_9_2	bin_9_3	bin_9_4	bin_9_5	bin_9_6	bin_9_7	bin_9_8	bin_9_9
1000	0.01	5000	0.066	0.0098	0.0072	2.35011258211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	10000	0.093	0.0068	0.0051	2.51445234889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	15000	0.137	0.00633333333333	0.00486666666667	2.58856974404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	20000	0.165	0.0059	0.0049	2.44189474948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	25000	0.154	0.00568	0.00504	2.41149830716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	30000	0.221	0.0053	0.00456666666667	2.46454155332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	35000	0.348	0.00511428571429	0.00451428571429	2.35756794348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	40000	0.315	0.00495	0.004375	2.75342353329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	45000	0.378	0.00477777777778	0.0042	2.75318307148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.01	50000	0.361	0.00458	0.00414	2.56898636394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
